iata_code,id_0,id_1,id_2,id_3,id_4,id_5
AAA,,,,,,
AAB,aus_15_gadm2-8,aus_15_7_gadm2-8,aus_15_7_432_gadm2-8,,,
AAC,egy_69_gadm2-8,egy_69_26_gadm2-8,egy_69_26_314_gadm2-8,,,
AAD,sdn_218_gadm2-8,sdn_218_10_gadm2-8,sdn_218_10_44_gadm2-8,sdn_218_10_44_129_gadm2-8,,
AAE,dza_5_gadm2-8,dza_5_5_gadm2-8,dza_5_5_120_gadm2-8,,,
AAF,usa_244_gadm2-8,usa_244_10_gadm2-8,usa_244_10_335_gadm2-8,,,
AAG,bra_33_gadm2-8,bra_33_16_gadm2-8,bra_33_16_2781_gadm2-8,bra_33_16_2781_5308_gadm2-8,,
AAH,deu_86_gadm2-8,deu_86_10_gadm2-8,deu_86_10_290_gadm2-8,deu_86_10_290_3523_gadm2-8,deu_86_10_290_3523_6263_gadm2-8,
AAI,bra_33_gadm2-8,bra_33_27_gadm2-8,bra_33_27_5383_gadm2-8,bra_33_27_5383_10061_gadm2-8,,
AAJ,sur_219_gadm2-8,sur_219_9_gadm2-8,sur_219_9_50_gadm2-8,,,
AAK,,,,,,
AAL,dnk_64_gadm2-8,dnk_64_3_gadm2-8,dnk_64_3_50_gadm2-8,,,
AAM,zaf_211_gadm2-8,zaf_211_6_gadm2-8,zaf_211_6_35_gadm2-8,zaf_211_6_35_146_gadm2-8,zaf_211_6_35_146_2938_gadm2-8,
AAN,are_241_gadm2-8,are_241_1_gadm2-8,,,,
AAO,ven_249_gadm2-8,ven_249_2_gadm2-8,ven_249_2_8_gadm2-8,,,
AAP,usa_244_gadm2-8,usa_244_44_gadm2-8,usa_244_44_2628_gadm2-8,,,
AAQ,rus_188_gadm2-8,rus_188_34_gadm2-8,rus_188_34_841_gadm2-8,rus_188_34_841_841_gadm2-8,,
AAR,dnk_64_gadm2-8,dnk_64_2_gadm2-8,dnk_64_2_48_gadm2-8,,,
AAS,idn_106_gadm2-8,idn_106_24_gadm2-8,idn_106_24_297_gadm2-8,,,
AAT,chn_49_gadm2-8,chn_49_28_gadm2-8,chn_49_28_297_gadm2-8,chn_49_28_297_2058_gadm2-8,,
AAU,wsm_197_gadm2-8,wsm_197_11_gadm2-8,wsm_197_11_42_gadm2-8,,,
AAV,phl_179_gadm2-8,phl_179_70_gadm2-8,phl_179_70_1437_gadm2-8,phl_179_70_1437_37238_gadm2-8,,
AAW,deu_86_gadm2-8,deu_86_10_gadm2-8,deu_86_10_290_gadm2-8,deu_86_10_290_3523_gadm2-8,deu_86_10_290_3523_6263_gadm2-8,
AAX,bra_33_gadm2-8,bra_33_13_gadm2-8,bra_33_13_1584_gadm2-8,bra_33_13_1584_3214_gadm2-8,,
AAY,yem_254_gadm2-8,yem_254_7_gadm2-8,yem_254_7_87_gadm2-8,,,
