idWeeks;datStart;datEnd;nYear;nMonth;nCalendarWeek
1;1998-01-05;1998-01-11;1998;1;2
2;1998-01-12;1998-01-18;1998;1;3
3;1998-01-19;1998-01-25;1998;1;4
4;1998-01-26;1998-02-01;1998;1;5
5;1998-02-02;1998-02-08;1998;2;6
6;1998-02-09;1998-02-15;1998;2;7
7;1998-02-16;1998-02-22;1998;2;8
8;1998-02-23;1998-03-01;1998;2;9
9;1998-03-02;1998-03-08;1998;3;10
10;1998-03-09;1998-03-15;1998;3;11
11;1998-03-16;1998-03-22;1998;3;12
12;1998-03-23;1998-03-29;1998;3;13
13;1998-03-30;1998-04-05;1998;3;14
14;1998-04-06;1998-04-12;1998;4;15
15;1998-04-13;1998-04-19;1998;4;16
16;1998-04-20;1998-04-26;1998;4;17
17;1998-04-27;1998-05-03;1998;4;18
18;1998-05-04;1998-05-10;1998;5;19
19;1998-05-11;1998-05-17;1998;5;20
20;1998-05-18;1998-05-24;1998;5;21
21;1998-05-25;1998-05-31;1998;5;22
22;1998-06-01;1998-06-07;1998;6;23
23;1998-06-08;1998-06-14;1998;6;24
24;1998-06-15;1998-06-21;1998;6;25
25;1998-06-22;1998-06-28;1998;6;26
26;1998-06-29;1998-07-05;1998;6;27
27;1998-07-06;1998-07-12;1998;7;28
28;1998-07-13;1998-07-19;1998;7;29
29;1998-07-20;1998-07-26;1998;7;30
30;1998-07-27;1998-08-02;1998;7;31
31;1998-08-03;1998-08-09;1998;8;32
32;1998-08-10;1998-08-16;1998;8;33
33;1998-08-17;1998-08-23;1998;8;34
34;1998-08-24;1998-08-30;1998;8;35
35;1998-08-31;1998-09-06;1998;8;36
36;1998-09-07;1998-09-13;1998;9;37
37;1998-09-14;1998-09-20;1998;9;38
38;1998-09-21;1998-09-27;1998;9;39
39;1998-09-28;1998-10-04;1998;9;40
40;1998-10-05;1998-10-11;1998;10;41
41;1998-10-12;1998-10-18;1998;10;42
42;1998-10-19;1998-10-25;1998;10;43
43;1998-10-26;1998-11-01;1998;10;44
44;1998-11-02;1998-11-08;1998;11;45
45;1998-11-09;1998-11-15;1998;11;46
46;1998-11-16;1998-11-22;1998;11;47
47;1998-11-23;1998-11-29;1998;11;48
48;1998-11-30;1998-12-06;1998;11;49
49;1998-12-07;1998-12-13;1998;12;50
50;1998-12-14;1998-12-20;1998;12;51
51;1998-12-21;1998-12-27;1998;12;52
52;1998-12-28;1999-01-03;1998;12;53
53;1999-01-04;1999-01-10;1999;1;2
54;1999-01-11;1999-01-17;1999;1;3
55;1999-01-18;1999-01-24;1999;1;4
56;1999-01-25;1999-01-31;1999;1;5
57;1999-02-01;1999-02-07;1999;2;6
58;1999-02-08;1999-02-14;1999;2;7
59;1999-02-15;1999-02-21;1999;2;8
60;1999-02-22;1999-02-28;1999;2;9
61;1999-03-01;1999-03-07;1999;3;10
62;1999-03-08;1999-03-14;1999;3;11
63;1999-03-15;1999-03-21;1999;3;12
64;1999-03-22;1999-03-28;1999;3;13
65;1999-03-29;1999-04-04;1999;3;14
66;1999-04-05;1999-04-11;1999;4;15
67;1999-04-12;1999-04-18;1999;4;16
68;1999-04-19;1999-04-25;1999;4;17
69;1999-04-26;1999-05-02;1999;4;18
70;1999-05-03;1999-05-09;1999;5;19
71;1999-05-10;1999-05-16;1999;5;20
72;1999-05-17;1999-05-23;1999;5;21
73;1999-05-24;1999-05-30;1999;5;22
74;1999-05-31;1999-06-06;1999;5;23
75;1999-06-07;1999-06-13;1999;6;24
76;1999-06-14;1999-06-20;1999;6;25
77;1999-06-21;1999-06-27;1999;6;26
78;1999-06-28;1999-07-04;1999;6;27
79;1999-07-05;1999-07-11;1999;7;28
80;1999-07-12;1999-07-18;1999;7;29
81;1999-07-19;1999-07-25;1999;7;30
82;1999-07-26;1999-08-01;1999;7;31
83;1999-08-02;1999-08-08;1999;8;32
84;1999-08-09;1999-08-15;1999;8;33
85;1999-08-16;1999-08-22;1999;8;34
86;1999-08-23;1999-08-29;1999;8;35
87;1999-08-30;1999-09-05;1999;8;36
88;1999-09-06;1999-09-12;1999;9;37
89;1999-09-13;1999-09-19;1999;9;38
90;1999-09-20;1999-09-26;1999;9;39
91;1999-09-27;1999-10-03;1999;9;40
92;1999-10-04;1999-10-10;1999;10;41
93;1999-10-11;1999-10-17;1999;10;42
94;1999-10-18;1999-10-24;1999;10;43
95;1999-10-25;1999-10-31;1999;10;44
96;1999-11-01;1999-11-07;1999;11;45
97;1999-11-08;1999-11-14;1999;11;46
98;1999-11-15;1999-11-21;1999;11;47
99;1999-11-22;1999-11-28;1999;11;48
100;1999-11-29;1999-12-05;1999;11;49
101;1999-12-06;1999-12-12;1999;12;50
102;1999-12-13;1999-12-19;1999;12;51
103;1999-12-20;1999-12-26;1999;12;52
104;1999-12-27;2000-01-02;1999;12;53
105;2000-01-03;2000-01-09;2000;1;2
106;2000-01-10;2000-01-16;2000;1;3
107;2000-01-17;2000-01-23;2000;1;4
108;2000-01-24;2000-01-30;2000;1;5
109;2000-01-31;2000-02-06;2000;1;6
110;2000-02-07;2000-02-13;2000;2;7
